Luas lantai (m2),Jenis dinding,Jenis Lantai,Kepimilikan FTBAB,Sumber air minum,Sumber penerangan,Bahan bakar,Banyak ART,Outcome
66,3,5,2,7,1,7,3,1
45,3,5,6,7,2,0,1,1
63,1,2,1,7,1,7,4,1
63,1,6,1,5,2,4,3,1
54,3,5,1,5,1,7,2,1
56,3,6,6,7,1,7,7,0
45,3,5,6,7,2,10,1,1
42,3,5,6,7,1,10,3,0
24,3,5,6,7,1,7,3,1
26,3,6,6,5,2,7,1,1
63,1,2,1,5,1,7,6,1
50,1,2,1,5,1,10,4,1
54,3,5,6,5,3,10,3,1
151,1,2,1,5,1,7,6,1
18,3,5,6,5,2,10,6,1
63,3,5,6,5,1,10,4,1
56,3,6,6,5,1,10,4,1
57,3,6,6,5,1,7,3,1
36,3,5,4,5,2,10,5,1
54,3,2,1,5,1,7,1,1
32,3,5,6,6,1,10,2,1
59,1,6,1,5,1,7,2,1
36,3,6,6,5,1,10,5,1
45,1,2,6,5,2,10,5,1
72,3,5,1,7,1,10,2,1
54,3,5,1,5,1,10,10,0
114,1,6,1,5,1,10,8,0
54,3,5,1,6,1,10,4,1
63,1,2,1,5,2,10,8,1
128,1,2,1,5,1,7,5,1
65,3,6,1,5,1,10,2,1
68,1,2,1,6,2,4,4,1
54,3,6,1,5,1,10,4,0
72,1,2,1,7,1,10,5,1
88,1,2,1,5,1,10,2,0
168,1,2,1,5,1,4,5,1
84,1,6,1,6,1,10,5,0
78,1,6,1,6,1,10,4,1
93,1,2,1,7,1,10,3,1
42,1,2,1,5,1,7,5,1
78,3,6,1,5,1,7,5,0
63,1,2,1,5,1,7,2,1
48,3,6,1,5,1,7,7,1
